(D20.12,I5,F5.1)
  0.245227500000D+07 4514  1.0
(I5,4F10.5)
52472   0.24189   0.41297  32.00000 -32.23207    02-07-17
52473   0.24289   0.41053  32.00000 -32.23250    02-07-18
52474   0.24402   0.40834  32.00000 -32.23281    02-07-19
52475   0.24430   0.40580  32.00000 -32.23284    02-07-20
52476   0.24475   0.40291  32.00000 -32.23254    02-07-21
52477   0.24550   0.39993  32.00000 -32.23203    02-07-22
52478   0.24613   0.39704  32.00000 -32.23141    02-07-23
52479   0.24668   0.39428  32.00000 -32.23073    02-07-24
52480   0.24691   0.39137  32.00000 -32.23002    02-07-25
52481   0.24675   0.38806  32.00000 -32.22941    02-07-26
52482   0.24683   0.38453  32.00000 -32.22900    02-07-27
52483   0.24710   0.38077  32.00000 -32.22870    02-07-28
52484   0.24763   0.37699  32.00000 -32.22849    02-07-29
52485   0.24847   0.37330  32.00000 -32.22833    02-07-30
52486   0.24977   0.37002  32.00000 -32.22815    02-07-31
52487   0.25120   0.36703  32.00000 -32.22786    02-08-01
52488   0.25222   0.36429  32.00000 -32.22752    02-08-02
52489   0.25296   0.36173  32.00000 -32.22712    02-08-03
52490   0.25393   0.35916  32.00000 -32.22659    02-08-04
52491   0.25493   0.35651  32.00000 -32.22591    02-08-05
52492   0.25564   0.35360  32.00000 -32.22516    02-08-06
52493   0.25673   0.35041  32.00000 -32.22445    02-08-07
52494   0.25787   0.34759  32.00000 -32.22387    02-08-08
52495   0.25902   0.34508  32.00000 -32.22352    02-08-09
52496   0.25989   0.34243  32.00000 -32.22350    02-08-10
52497   0.26039   0.33987  32.00000 -32.22378    02-08-11
52498   0.26050   0.33703  32.00000 -32.22425    02-08-12
52499   0.26070   0.33383  32.00000 -32.22480    02-08-13
52500   0.26084   0.33104  32.00000 -32.22533    02-08-14
52501   0.26078   0.32835  32.00000 -32.22572    02-08-15
52502   0.26055   0.32578  32.00000 -32.22587    02-08-16
52503   0.26024   0.32316  32.00000 -32.22580    02-08-17
52504   0.25974   0.32047  32.00000 -32.22556    02-08-18
52505   0.25911   0.31773  32.00000 -32.22519    02-08-19
52506   0.25851   0.31490  32.00000 -32.22478    02-08-20
52507   0.25780   0.31190  32.00000 -32.22445    02-08-21
52508   0.25721   0.30882  32.00000 -32.22427    02-08-22
52509   0.25680   0.30557  32.00000 -32.22427    02-08-23
52510   0.25623   0.30226  32.00000 -32.22436    02-08-24
52511   0.25553   0.29886  32.00000 -32.22456    02-08-25
52512   0.25487   0.29535  32.00000 -32.22485    02-08-26
52513   0.25447   0.29190  32.00000 -32.22517    02-08-27
52514   0.25454   0.28863  32.00000 -32.22548    02-08-28
52515   0.25453   0.28558  32.00000 -32.22575    02-08-29
52516   0.25410   0.28249  32.00000 -32.22582    02-08-30
52517   0.25355   0.27937  32.00000 -32.22580    02-08-31
52518   0.25276   0.27624  32.00000 -32.22566    02-09-01
52519   0.25159   0.27304  32.00000 -32.22541    02-09-02
52520   0.25014   0.26987  32.00000 -32.22512    02-09-03
52521   0.24896   0.26686  32.00000 -32.22498    02-09-04
52522   0.24831   0.26384  32.00000 -32.22498    02-09-05
52523   0.24737   0.26088  32.00000 -32.22517    02-09-06
52524   0.24621   0.25821  32.00000 -32.22569    02-09-07
52525   0.24463   0.25584  32.00000 -32.22653    02-09-08
52526   0.24277   0.25338  32.00000 -32.22756    02-09-09
52527   0.24104   0.25076  32.00000 -32.22861    02-09-10
52528   0.23928   0.24821  32.00000 -32.22945    02-09-11
52529   0.23745   0.24563  32.00000 -32.22997    02-09-12
52530   0.23574   0.24296  32.00000 -32.23029    02-09-13
52531   0.23420   0.23988  32.00000 -32.23044    02-09-14
52532   0.23288   0.23699  32.00000 -32.23044    02-09-15
52533   0.23167   0.23472  32.00000 -32.23039    02-09-16
52534   0.23014   0.23279  32.00000 -32.23038    02-09-17
52535   0.22800   0.23103  32.00000 -32.23043    02-09-18
52536   0.22530   0.22933  32.00000 -32.23054    02-09-19
52537   0.22232   0.22736  32.00000 -32.23076    02-09-20
52538   0.21944   0.22515  32.00000 -32.23109    02-09-21
52539   0.21675   0.22288  32.00000 -32.23149    02-09-22
52540   0.21438   0.22054  32.00000 -32.23194    02-09-23
52541   0.21211   0.21793  32.00000 -32.23239    02-09-24
52542   0.21046   0.21563  32.00000 -32.23276    02-09-25
52543   0.20877   0.21328  32.00000 -32.23296    02-09-26
52544   0.20678   0.21102  32.00000 -32.23310    02-09-27
52545   0.20475   0.20865  32.00000 -32.23321    02-09-28
52546   0.20269   0.20607  32.00000 -32.23314    02-09-29
52547   0.20060   0.20337  32.00000 -32.23294    02-09-30
52548   0.19844   0.20063  32.00000 -32.23280    02-10-01
52549   0.19657   0.19828  32.00000 -32.23283    02-10-02
52550   0.19467   0.19588  32.00000 -32.23303    02-10-03
52551   0.19246   0.19365  32.00000 -32.23345    02-10-04
52552   0.18986   0.19156  32.00000 -32.23431    02-10-05
52553   0.18732   0.18949  32.00000 -32.23538    02-10-06
52554   0.18496   0.18738  32.00000 -32.23649    02-10-07
52555   0.18253   0.18519  32.00000 -32.23754    02-10-08
52556   0.18004   0.18286  32.00000 -32.23844    02-10-09
52557   0.17794   0.18086  32.00000 -32.23901    02-10-10
52558   0.17553   0.17893  32.00000 -32.23936    02-10-11
52559   0.17313   0.17708  32.00000 -32.23956    02-10-12
52560   0.17092   0.17525  32.00000 -32.23969    02-10-13
52561   0.16849   0.17359  32.00000 -32.23984    02-10-14
52562   0.16586   0.17172  32.00000 -32.24010    02-10-15
52563   0.16339   0.17031  32.00000 -32.24054    02-10-16
52564   0.16119   0.16905  32.00000 -32.24109    02-10-17
52565   0.15840   0.16800  32.00000 -32.24171    02-10-18
52566   0.15453   0.16688  32.00000 -32.24245    02-10-19
52567   0.15025   0.16559  32.00000 -32.24323    02-10-20
52568   0.14662   0.16405  32.00000 -32.24398    02-10-21
52569   0.14316   0.16277  32.00000 -32.24469    02-10-22
52570   0.13989   0.16149  32.00000 -32.24535    02-10-23
52571   0.13656   0.16023  32.00000 -32.24592    02-10-24
52572   0.13297   0.15855  32.00000 -32.24634    02-10-25
52573   0.12949   0.15687  32.00000 -32.24663    02-10-26
52574   0.12583   0.15538  32.00000 -32.24684    02-10-27
52575   0.12228   0.15420  32.00000 -32.24702    02-10-28
52576   0.11874   0.15306  32.00000 -32.24721    02-10-29
52577   0.11539   0.15233  32.00000 -32.24753    02-10-30
52578   0.11156   0.15163  32.00000 -32.24808    02-10-31
52579   0.10746   0.15091  32.00000 -32.24893    02-11-01
52580   0.10356   0.15017  32.00000 -32.25003    02-11-02
52581   0.09987   0.14957  32.00000 -32.25127    02-11-03
52582   0.09637   0.14911  32.00000 -32.25250    02-11-04
52583   0.09246   0.14827  32.00000 -32.25357    02-11-05
52584   0.08900   0.14775  32.00000 -32.25441    02-11-06
52585   0.08474   0.14702  32.00000 -32.25497    02-11-07
52586   0.08061   0.14635  32.00000 -32.25532    02-11-08
52587   0.07666   0.14558  32.00000 -32.25554    02-11-09
52588   0.07280   0.14505  32.00000 -32.25567    02-11-10
52589   0.06921   0.14469  32.00000 -32.25577    02-11-11
52590   0.06587   0.14442  32.00000 -32.25592    02-11-12
52591   0.06294   0.14403  32.00000 -32.25626    02-11-13
52592   0.05997   0.14389  32.00000 -32.25675    02-11-14
52593   0.05631   0.14386  32.00000 -32.25734    02-11-15
52594   0.05299   0.14384  32.00000 -32.25799    02-11-16
52595   0.04974   0.14379  32.00000 -32.25865    02-11-17
52596   0.04627   0.14335  32.00000 -32.25925    02-11-18
52597   0.04268   0.14269  32.00000 -32.25976    02-11-19
52598   0.03903   0.14226  32.00000 -32.26013    02-11-20
52599   0.03565   0.14183  32.00000 -32.26038    02-11-21
52600   0.03239   0.14162  32.00000 -32.26055    02-11-22
52601   0.02946   0.14189  32.00000 -32.26076    02-11-23
52602   0.02629   0.14210  32.00000 -32.26092    02-11-24
52603   0.02315   0.14225  32.00000 -32.26113    02-11-25
52604   0.02043   0.14229  32.00000 -32.26156    02-11-26
52605   0.01771   0.14216  32.00000 -32.26220    02-11-27
52606   0.01461   0.14185  32.00000 -32.26313    02-11-28
52607   0.01111   0.14169  32.00000 -32.26422    02-11-29
52608   0.00759   0.14157  32.00000 -32.26553    02-11-30
52609   0.00420   0.14136  32.00000 -32.26698    02-12-01
52610   0.00098   0.14136  32.00000 -32.26837    02-12-02
52611  -0.00218   0.14155  32.00000 -32.26956    02-12-03
52612  -0.00518   0.14236  32.00000 -32.27046    02-12-04
52613  -0.00840   0.14325  32.00000 -32.27105    02-12-05
52614  -0.01235   0.14439  32.00000 -32.27141    02-12-06
52615  -0.01671   0.14572  32.00000 -32.27176    02-12-07
52616  -0.02088   0.14689  32.00000 -32.27215    02-12-08
52617  -0.02426   0.14792  32.00000 -32.27263    02-12-09
52618  -0.02709   0.14921  32.00000 -32.27332    02-12-10
52619  -0.03009   0.15081  32.00000 -32.27421    02-12-11
52620  -0.03290   0.15244  32.00000 -32.27519    02-12-12
52621  -0.03651   0.15383  32.00000 -32.27620    02-12-13
52622  -0.04013   0.15508  32.00000 -32.27728    02-12-14
52623  -0.04416   0.15609  32.00000 -32.27831    02-12-15
52624  -0.04808   0.15685  32.00000 -32.27918    02-12-16
52625  -0.05162   0.15746  32.00000 -32.27986    02-12-17
52626  -0.05455   0.15868  32.00000 -32.28043    02-12-18
52627  -0.05694   0.16007  32.00000 -32.28082    02-12-19
52628  -0.05914   0.16196  32.00000 -32.28103    02-12-20
52629  -0.06158   0.16427  32.00000 -32.28123    02-12-21
52630  -0.06425   0.16662  32.00000 -32.28141    02-12-22
52631  -0.06675   0.16883  32.00000 -32.28164    02-12-23
52632  -0.06910   0.17106  32.00000 -32.28206    02-12-24
52633  -0.07164   0.17334  32.00000 -32.28279    02-12-25
52634  -0.07419   0.17532  32.00000 -32.28377    02-12-26
52635  -0.07648   0.17704  32.00000 -32.28491    02-12-27
52636  -0.07874   0.17904  32.00000 -32.28609    02-12-28
52637  -0.08113   0.18130  32.00000 -32.28721    02-12-29
52638  -0.08342   0.18344  32.00000 -32.28817    02-12-30
52639  -0.08558   0.18580  32.00000 -32.28891    02-12-31
52640  -0.08850   0.18812  32.00000 -32.28945    03-01-01
52641  -0.09152   0.19043  32.00000 -32.28979    03-01-02
52642  -0.09453   0.19287  32.00000 -32.29009    03-01-03
52643  -0.09754   0.19537  32.00000 -32.29046    03-01-04
52644  -0.10067   0.19759  32.00000 -32.29085    03-01-05
52645  -0.10349   0.19950  32.00000 -32.29135    03-01-06
52646  -0.10591   0.20135  32.00000 -32.29202    03-01-07
52647  -0.10860   0.20351  32.00000 -32.29286    03-01-08
52648  -0.11106   0.20569  32.00000 -32.29374    03-01-09
52649  -0.11322   0.20806  32.00000 -32.29463    03-01-10
52650  -0.11526   0.21052  32.00000 -32.29555    03-01-11
52651  -0.11728   0.21282  32.00000 -32.29645    03-01-12
52652  -0.11899   0.21494  32.00000 -32.29725    03-01-13
52653  -0.12031   0.21704  32.00000 -32.29790    03-01-14
52654  -0.12167   0.21933  32.00000 -32.29840    03-01-15
52655  -0.12280   0.22182  32.00000 -32.29875    03-01-16
52656  -0.12429   0.22422  32.00000 -32.29899    03-01-17
52657  -0.12604   0.22669  32.00000 -32.29921    03-01-18
52658  -0.12767   0.22900  32.00000 -32.29947    03-01-19
52659  -0.12887   0.23121  32.00000 -32.29984    03-01-20
52660  -0.12993   0.23366  32.00000 -32.30040    03-01-21
52661  -0.13100   0.23654  32.00000 -32.30115    03-01-22
52662  -0.13221   0.23977  32.00000 -32.30201    03-01-23
52663  -0.13356   0.24258  32.00000 -32.30287    03-01-24
52664  -0.13514   0.24499  32.00000 -32.30375    03-01-25
52665  -0.13678   0.24723  32.00000 -32.30453    03-01-26
52666  -0.13812   0.24957  32.00000 -32.30506    03-01-27
52667  -0.13898   0.25229  32.00000 -32.30533    03-01-28
52668  -0.13926   0.25527  32.00000 -32.30541    03-01-29
52669  -0.13947   0.25840  32.00000 -32.30540    03-01-30
52670  -0.13979   0.26148  32.00000 -32.30536    03-01-31
52671  -0.14115   0.26424  32.00000 -32.30537    03-02-01
52672  -0.14264   0.26697  32.00000 -32.30545    03-02-02
52673  -0.14412   0.26983  32.00000 -32.30568    03-02-03
52674  -0.14522   0.27258  32.00000 -32.30618    03-02-04
52675  -0.14605   0.27550  32.00000 -32.30690    03-02-05
52676  -0.14731   0.27812  32.00000 -32.30768    03-02-06
52677  -0.14842   0.28058  32.00000 -32.30844    03-02-07
52678  -0.14966   0.28337  32.00000 -32.30915    03-02-08
52679  -0.15130   0.28613  32.00000 -32.30979    03-02-09
52680  -0.15294   0.28880  32.00000 -32.31028    03-02-10
52681  -0.15429   0.29149  32.00000 -32.31060    03-02-11
52682  -0.15536   0.29428  32.00000 -32.31081    03-02-12
52683  -0.15587   0.29703  32.00000 -32.31103    03-02-13
52684  -0.15608   0.29966  32.00000 -32.31137    03-02-14
52685  -0.15634   0.30231  32.00000 -32.31178    03-02-15
52686  -0.15629   0.30477  32.00000 -32.31224    03-02-16
52687  -0.15585   0.30725  32.00000 -32.31288    03-02-17
52688  -0.15532   0.31026  32.00000 -32.31379    03-02-18
52689  -0.15490   0.31367  32.00000 -32.31494    03-02-19
52690  -0.15478   0.31777  32.00000 -32.31618    03-02-20
52691  -0.15530   0.32155  32.00000 -32.31743    03-02-21
52692  -0.15547   0.32466  32.00000 -32.31854    03-02-22
52693  -0.15545   0.32758  32.00000 -32.31939    03-02-23
52694  -0.15512   0.33063  32.00000 -32.31997    03-02-24
52695  -0.15461   0.33368  32.00000 -32.32035    03-02-25
52696  -0.15463   0.33657  32.00000 -32.32062    03-02-26
52697  -0.15465   0.33949  32.00000 -32.32083    03-02-27
52698  -0.15437   0.34232  32.00000 -32.32107    03-02-28
52699  -0.15383   0.34483  32.00000 -32.32134    03-03-01
52700  -0.15319   0.34742  32.00000 -32.32173    03-03-02
52701  -0.15287   0.35039  32.00000 -32.32229    03-03-03
52702  -0.15308   0.35326  32.00000 -32.32294    03-03-04
52703  -0.15341   0.35603  32.00000 -32.32361    03-03-05
52704  -0.15376   0.35850  32.00000 -32.32430    03-03-06
52705  -0.15435   0.36097  32.00000 -32.32500    03-03-07
52706  -0.15453   0.36366  32.00000 -32.32566    03-03-08
52707  -0.15476   0.36652  32.00000 -32.32625    03-03-09
52708  -0.15490   0.36952  32.00000 -32.32674    03-03-10
52709  -0.15558   0.37255  32.00000 -32.32712    03-03-11
52710  -0.15643   0.37566  32.00000 -32.32744    03-03-12
52711  -0.15702   0.37890  32.00000 -32.32776    03-03-13
52712  -0.15768   0.38151  32.00000 -32.32812    03-03-14
52713  -0.15707   0.38420  32.00000 -32.32865    03-03-15
52714  -0.15694   0.38705  32.00000 -32.32939    03-03-16
52715  -0.15674   0.38994  32.00000 -32.33041    03-03-17
52716  -0.15593   0.39281  32.00000 -32.33171    03-03-18
52717  -0.15494   0.39586  32.00000 -32.33322    03-03-19
52718  -0.15387   0.39975  32.00000 -32.33476    03-03-20
52719  -0.15326   0.40370  32.00000 -32.33616    03-03-21
52720  -0.15232   0.40685  32.00000 -32.33731    03-03-22
52721  -0.15152   0.40977  32.00000 -32.33815    03-03-23
52722  -0.15057   0.41268  32.00000 -32.33870    03-03-24
52723  -0.14898   0.41562  32.00000 -32.33901    03-03-25
52724  -0.14757   0.41849  32.00000 -32.33924    03-03-26
52725  -0.14577   0.42140  32.00000 -32.33955    03-03-27
52726  -0.14345   0.42422  32.00000 -32.33994    03-03-28
52727  -0.14061   0.42707  32.00000 -32.34049    03-03-29
52728  -0.13787   0.43007  32.00000 -32.34121    03-03-30
